Billing Cycle,Enterprise Project,Enterprise Project ID,Account Name,Service Type Code,Service Type,Resource Type Code,Resource Type,Product ID,Billing Mode,Bill Type,Resource ID,Resource Name,Resource Tag,SKU Code,Resource Specifications,Region Code,Region,AZ,Usage Type Code,Usage Type,Unit Price (USD),Unit,Usage,Usage Unit,Package Usage,Usage Type in Reserved Instances,List Price (USD),Discount (USD),Amount (USD),Cash Payment (USD),Credit Payment (USD),Cash Coupon Used (USD),Arrears (USD),Written Off (USD)
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0","Pay-per-Use","Expenditure-use","hk-monthly-bk","","",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"get","Get_Standard Storage","0.00010000","Dollar/1,000PCS","0","PCS","541","0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0-ae9e","Pay-per-Use","Expenditure-use","hk-customer-dailybackup","","",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"download.internal","Download_Standard Storage.Internal","0.00000000","Dollar/1GB","4535047","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0","Pay-per-Use","Expenditure-use","ccc-monthly-bk","","",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"size_warm","Capacity_Infrequent Access Storage","0.00001900","Dollar/1GB","8042518587660","Byte",--,"0","0.14563500","0.05825280","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0","Pay-per-Use","Expenditure-use","sles-image","","",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"get","Get_Standard Storage","0.00010000","Dollar/1,000PCS","0","PCS","455","0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.ces","Cloud Eye","hws.resource.type.ces.custom","Cloud Eye Custom","00301-20089-0--0","Pay-per-Use","Expenditure-use","7763ba83a0de48c5920a45fff32f78ae_post_metric_data","","","CustomMetricTimes","Custom Metric Times","ap-southeast-1","AP-Hong Kong",--,"custom.times","times","0.00000000","Dollar/1Million times","6399458989","times",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-36685-0--0-4730","Pay-per-Use","Expenditure-use","bkk-monthly-bk","","",--,"Object Storage Service","ap-southeast-2","AP-Bangkok",--,"download.internal","Download_Standard Storage.Internal","0.00000000","Dollar/1GB","213874","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.smn","Simple Message Notification","hws.resource.type.smn","Simple Message Notification","00301-36271-0--0","Pay-per-Use","Expenditure-use","f42ac77d91824da19f50827c087e0d79","HANA_BCK_75","",--,"SMN","ap-southeast-2","AP-Bangkok",--,"downflow","Downstream bandwidth","0.15300000","Dollar/1GB","517050","Byte",--,"0","0.00007360","0.00002940","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.smn","Simple Message Notification","hws.resource.type.smn","Simple Message Notification","00301-06001-0--0","Pay-per-Use","Expenditure-use","86cd0669f6ed45ebb8833734a47259a4","CPU_Usage_80","",--,"SMN","ap-southeast-1","AP-Hong Kong",--,"email","Email","0.00000000","Dollar/1Number","800","Number",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-34661-0--0","Pay-per-Use","Expenditure-use","5ad11e4f-49db-47e0-9cc6-2b68bdb0097e","EAC_ESG","","12_bgp","Dynamic BGP|traffic","ap-southeast-2","AP-Bangkok",--,"upflow","Upstream bandwidth","0.10800000","Dollar/1GB","195498002810","Byte",--,"0","19.66374022","6.88231035","10.93","0.00","10.93","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0","Pay-per-Use","Expenditure-use","sles-image","","",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"size","Capacity","0.00003200","Dollar/1GB","0","Byte","4210827632640","0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
